Liquidada,Descrição,Tipo,Cotações,Valor Apostado ($),Risco ($),Lucro/Perda ($),Status
28-out-21 08:32:43,08:25 Stratford Runwiththetide-Vencedor | ID Aposta Betfair 1:248711563277 | Feita 27-out-21 23:33:07 | RF 3.80 3.43,A favor,3.43,3.00, -- , -3.00 ,Perdidas
28-out-21 03:28:56,03:25 Sapphire Coast 5. Blue Glass-Vencedor | ID Aposta Betfair 1:248711767997 | Feita 27-out-21 23:37:46,A favor,2.64,3.00, -- , 4.91 ,Ganhas
28-out-21 02:14:11,02:10 Sapphire Coast 5. Scottish Soldier-Vencedor | ID Aposta Betfair 1:248711756295 | Feita 27-out-21 23:37:31,A favor,4.52,3.00, -- , -3.00 ,Perdidas
28-out-21 01:38:32,01:35 Sapphire Coast 5. Blood Ties-Vencedor | ID Aposta Betfair 1:248711741934 | Feita 27-out-21 23:37:12,A favor,4.68,3.00, -- , -3.00 ,Perdidas
28-out-21 00:16:48,00:15 Sapphire Coast 10. Lord Remy-Vencedor | ID Aposta Betfair 1:248711723140 | Feita 27-out-21 23:36:49,A favor,3.87,3.00, -- , -3.00 ,Perdidas
27-out-21 23:43:09,23:40 Sapphire Coast 6. Nephradiva-Vencedor | ID Aposta Betfair 1:248711700161 | Feita 27-out-21 23:36:18,A favor,2.60,3.00, -- , -3.00 ,Perdidas
27-out-21 23:25:35,"Flamengo x Athletico-PR Mais de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:248709868519 | Feita 27-out-21 23:00:18",A favor,1.41,3.00, -- , 1.23 ,Ganhas
27-out-21 00:06:59,Deportivo Pereira x Atletico Bucaramanga Empate -Resultado Final | ID Aposta Betfair 1:248578901554 | Feita 26-out-21 18:16:50,Contra,3.45,3.00, 7.35 , -7.35 ,Perdidas
26-out-21 23:27:27,Goiás x Botafogo Empate -Resultado Final | ID Aposta Betfair 1:248578882202 | Feita 26-out-21 18:16:13,Contra,3.20,3.00, 6.60 , -6.60 ,Perdidas
26-out-21 21:56:25,Alianza Petrolera x Ind Medellin Empate -Resultado Final | ID Aposta Betfair 1:248578890862 | Feita 26-out-21 18:16:30,Contra,3.14,3.00, 6.42 , 3.00 ,Ganhas
26-out-21 21:56:25,Alianza Petrolera x Ind Medellin Ind Medellin-Resultado Final | ID Aposta Betfair 1:248583926260 | Feita 26-out-21 21:10:49,Contra,80.00,0.11, 8.69 , 0.11 ,Ganhas
26-out-21 21:56:25,Alianza Petrolera x Ind Medellin Alianza Petrolera-Resultado Final | ID Aposta Betfair 1:248583926261 | Feita 26-out-21 21:10:49,Contra,1.12,8.42, 1.01 , -1.01 ,Perdidas
26-out-21 21:03:49,CRB x Coritiba Empate -Resultado Final | ID Aposta Betfair 1:248578879358 | Feita 26-out-21 18:16:07,Contra,3.10,3.00, 6.30 , -6.30 ,Perdidas
26-out-21 19:56:16,Envigado x Millonarios Empate -Resultado Final | ID Aposta Betfair 1:248578769857 | Feita 26-out-21 18:13:06,Contra,3.05,3.00, 6.15 , 3.00 ,Ganhas
26-out-21 19:56:16,Envigado x Millonarios Millonarios-Resultado Final | ID Aposta Betfair 1:248581176727 | Feita 26-out-21 19:45:45,Contra,170.00,0.05, 8.45 , 0.05 ,Ganhas
26-out-21 19:56:16,Envigado x Millonarios Envigado-Resultado Final | ID Aposta Betfair 1:248581176728 | Feita 26-out-21 19:45:45,Contra,1.09,8.16, 0.73 , -0.73 ,Perdidas
26-out-21 18:08:35,"Villarreal x Cadiz Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:248578431217 | Feita 26-out-21 18:02:42",Contra,2.58,3.00, 4.74 , 3.00 ,Ganhas
25-out-21 23:11:25,CA Independiente x Union Santa Fe Empate -Resultado Final | ID Aposta Betfair 1:248479816111 | Feita 25-out-21 21:21:21,Contra,3.15,3.00, 6.45 , 3.00 ,Ganhas
25-out-21 23:11:25,CA Independiente x Union Santa Fe Empate -Resultado Final | ID Aposta Betfair 1:248483345609 | Feita 25-out-21 23:05:13,A favor,9.80,0.96, -- , -0.96 ,Perdidas
25-out-21 23:00:58,Estudiantes Rio Cuarto x Deportivo Riestra Empate -Resultado Final | ID Aposta Betfair 1:248479788262 | Feita 25-out-21 21:20:29,Contra,3.20,3.00, 6.60 , 3.00 ,Ganhas
25-out-21 23:00:58,Estudiantes Rio Cuarto x Deportivo Riestra Estudiantes Rio Cuarto-Resultado Final | ID Aposta Betfair 1:248482852625 | Feita 25-out-21 22:47:24,Contra,1.12,8.57, 1.03 , -1.03 ,Perdidas
25-out-21 23:00:58,Estudiantes Rio Cuarto x Deportivo Riestra Deportivo Riestra-Resultado Final | ID Aposta Betfair 1:248482852626 | Feita 25-out-21 22:47:24,Contra,200.00,0.04, 7.96 , 0.04 ,Ganhas
25-out-21 22:56:46,Curico Unido x Union La Calera Empate -Resultado Final | ID Aposta Betfair 1:248479805064 | Feita 25-out-21 21:21:00,Contra,3.58,3.00, 7.74 , -7.73 ,Perdidas
25-out-21 22:04:43,Instituto x Brown de Adrogue Empate -Resultado Final | ID Aposta Betfair 1:248479834870 | Feita 25-out-21 21:21:52,Contra,4.00,3.00, 9.00 , -9.00 ,Perdidas
25-out-21 22:04:43,Instituto x Brown de Adrogue Brown de Adrogue-Resultado Final | ID Aposta Betfair 1:248481278445 | Feita 25-out-21 21:56:43,Contra,1.09,11.00, 0.99 , 11.00 ,Ganhas
25-out-21 21:55:20,Atlético-GO x Grêmio Empate -Resultado Final | ID Aposta Betfair 1:248478679093 | Feita 25-out-21 20:41:07,Contra,2.74,3.00, 5.22 , 3.00 ,Ganhas
25-out-21 21:55:20,Atlético-GO x Grêmio Grêmio-Resultado Final | ID Aposta Betfair 1:248480211827 | Feita 25-out-21 21:30:12,Contra,150.00,0.04, 5.96 , 0.04 ,Ganhas
25-out-21 21:55:20,Atlético-GO x Grêmio Atlético-GO-Resultado Final | ID Aposta Betfair 1:248480211828 | Feita 25-out-21 21:30:12,Contra,1.04,7.61, 0.30 , -0.30 ,Perdidas
25-out-21 20:54:32,River Plate x Argentinos Juniors Empate -Resultado Final | ID Aposta Betfair 1:248476369247 | Feita 25-out-21 19:15:32,Contra,3.90,3.00, 8.70 , 3.00 ,Ganhas
25-out-21 20:29:12,Guairena x Cerro Porteño Empate -Resultado Final | ID Aposta Betfair 1:248476272522 | Feita 25-out-21 19:11:36,Contra,2.84,3.00, 5.52 , 3.00 ,Ganhas
25-out-21 20:25:52,Univ de Concepcion x San Luis Empate -Resultado Final | ID Aposta Betfair 1:248476395881 | Feita 25-out-21 19:16:01,Contra,3.25,3.00, 6.75 , 3.00 ,Ganhas
25-out-21 19:16:35,Boavista x Belenenses Empate -Resultado Final | ID Aposta Betfair 1:248476303322 | Feita 25-out-21 19:12:47,Contra,1.08,3.00, 0.24 , -0.24 ,Perdidas
24-out-21 11:57:34,Asane x Kfum Oslo Empate -Resultado Final | ID Aposta Betfair 1:248331251820 | Feita 24-out-21 10:39:30,A favor,2.88,3.00, -- , -3.00 ,Perdidas
24-out-21 11:57:34,Asane x Kfum Oslo Empate -Resultado Final | ID Aposta Betfair 1:248335101045 | Feita 24-out-21 11:01:19,Contra,2.72,3.13, 5.38 , 3.13 ,Ganhas
24-out-21 11:57:34,Asane x Kfum Oslo Empate -Resultado Final | ID Aposta Betfair 1:248335447551 | Feita 24-out-21 11:03:20,Contra,2.72,0.04, 0.07 , 0.04 ,Ganhas
24-out-21 11:55:36,Lorient x Bordeaux Empate -Resultado Final | ID Aposta Betfair 1:248331037585 | Feita 24-out-21 10:38:28,A favor,2.66,3.00, -- , 4.98 ,Ganhas
24-out-21 11:55:36,Lorient x Bordeaux Empate -Resultado Final | ID Aposta Betfair 1:248335081071 | Feita 24-out-21 11:01:13,Contra,2.48,3.19, 4.72 , -4.72 ,Perdidas
